city,lat,long,max_temp,humidity,cloudiness,wind_speed,country,date
port hardy,50.6996,-127.4199,62.78,82,75,2.3,CA,1627266617
tokomaru,-40.4667,175.5,61.7,95,96,5.37,NZ,1627267376
ugoofaaru,5.6667,73.0,81.79,76,100,13.82,MV,1627266946
toamasina,-18.1667,49.3833,62.6,94,75,16.11,MG,1627267377
talnakh,69.4865,88.3972,62.62,83,99,3.42,RU,1627266881
moerai,-22.4333,-151.3333,75.27,79,100,13.09,PF,1627267377
junin,-34.5838,-60.9433,46.17,67,0,6.49,AR,1627267377
brumado,-14.2036,-41.6653,63.86,76,1,4.05,BR,1627267377
dikson,73.5069,80.5464,45.68,73,45,5.41,RU,1627266877
guiratinga,-16.3494,-53.7583,65.7,42,15,4.88,BR,1627267378
pobe,6.9801,2.6649,69.46,91,33,4.5,BJ,1627267378
champerico,14.3,-91.9167,82.35,74,91,3.8,GT,1627267069
moron,-34.6534,-58.6198,55.15,95,0,1.99,AR,1627267378
prachuap khiri khan,12.2167,99.75,86.58,56,100,9.82,TH,1627267379
usinsk,65.9939,57.5281,45.95,87,100,9.89,RU,1627267379
batavia,41.85,-88.3126,80.89,74,1,3.44,US,1627267379
makakilo city,21.3469,-158.0858,89.92,58,40,11.5,US,1627266773
penarroya-pueblonuevo,38.3,-5.2667,69.91,88,0,4.07,ES,1627267379
alofi,-19.0595,-169.9187,82.29,65,7,5.75,NU,1627267025
kwinana,-32.25,115.7667,66.81,75,100,26.91,AU,1627267380
kendari,-3.945,122.4989,82.83,60,53,4.25,ID,1627267380
deputatskiy,69.3,139.9,58.71,52,100,4.68,RU,1627267054
vallenar,-28.5708,-70.7581,52.48,59,0,2.08,CL,1627267380
phan thiet,10.9333,108.1,87.33,61,35,14.92,VN,1627266900
bilma,18.6853,12.9164,88.21,45,99,11.07,NE,1627266935
wolmirstedt,52.25,11.6333,66.25,85,81,4.18,DE,1627267380
north bend,43.4065,-124.2243,63.91,90,90,27.63,US,1627267381
abu samrah,35.3029,37.1841,77.18,59,0,4.47,SY,1627266909
katsuura,35.1333,140.3,86.18,61,72,19.75,JP,1627267381
iqaluit,63.7506,-68.5145,47.93,87,75,5.01,CA,1627267381
puerto rico,-26.796,-55.024,67.32,64,99,3.44,AR,1627267381
necochea,-38.5473,-58.7368,44.01,87,4,9.64,AR,1627266971
puchezh,56.9788,43.1676,61.41,57,79,4.52,RU,1627267382
saintes,45.6667,-0.75,64.09,87,37,5.84,FR,1627267382
lodwar,3.1191,35.5973,74.68,54,100,11.72,KE,1627267382
rokytne,51.2796,27.214,61.79,79,19,6.04,UA,1627267382
podgornoye,51.735,39.1496,55.62,82,0,0.0,RU,1627267383
norman wells,65.282,-126.8329,68.04,64,75,14.97,CA,1627266877
longyearbyen,78.2186,15.6401,44.44,81,75,6.91,SJ,1627266974
grand gaube,-20.0064,57.6608,70.2,57,0,15.41,MU,1627267383
ixtapa,20.7,-105.2,85.23,79,75,0.0,MX,1627266954
coihaique,-45.5752,-72.0662,30.15,86,0,3.44,CL,1627266941
urusha,54.05,122.9,70.72,75,63,6.58,RU,1627267383
rio grande,-32.035,-52.0986,62.55,82,23,7.2,BR,1627267383
craigieburn,-37.6,144.95,59.76,73,75,18.41,AU,1627267384
broome,42.2506,-75.833,71.02,80,0,2.06,US,1627267384
arman,59.7,150.1667,54.61,99,100,7.43,RU,1627267384
lipin bor,60.2622,37.9763,60.26,75,100,9.26,RU,1627267384
sakaiminato,35.55,133.2333,87.78,55,20,8.05,JP,1627267186
victoria,22.2855,114.1577,90.97,81,59,1.99,HK,1627266654
panaba,21.2833,-88.2667,76.46,91,79,2.44,MX,1627267385
port said,31.2565,32.2841,76.98,83,20,9.22,EG,1627267385
harper,4.375,-7.7169,75.63,77,58,7.38,LR,1627267057
la palma,33.8464,-118.0467,83.03,73,1,5.01,US,1627267055
vardo,70.3705,31.1107,44.8,75,63,21.99,NO,1627266977
giresun,40.5,38.5,47.52,91,56,3.15,TR,1627267385
keningau,5.3378,116.1602,84.65,54,47,2.93,MY,1627267386
plettenberg bay,-34.0527,23.3716,62.56,38,77,11.63,ZA,1627267386
esperance,-33.8667,121.9,58.84,67,2,22.73,AU,1627266907
omboue,-1.5746,9.2618,73.0,83,96,1.01,GA,1627267023
xichang,27.8964,102.2634,76.62,69,26,2.28,CN,1627266906
dangriga,16.9692,-88.2321,82.98,75,6,4.07,BZ,1627267386
bonthe,7.5264,-12.505,75.56,87,99,4.92,SL,1627266885
port lincoln,-34.7333,135.8667,60.49,66,55,20.54,AU,1627266929
verkhnevilyuysk,63.4453,120.3167,85.46,39,1,8.16,RU,1627267044
tamandare,-8.7597,-35.1047,73.63,88,40,9.57,BR,1627267387
el alto,-4.2714,-81.2147,64.26,88,87,12.64,PE,1627267387
ashford,51.1459,0.8728,64.09,97,72,6.71,GB,1627267387
luderitz,-26.6481,15.1594,65.08,29,74,11.77,NA,1627266906
pisco,-13.7,-76.2167,62.65,77,1,6.91,PE,1627266879
san quintin,30.4833,-115.95,67.24,86,100,8.16,MX,1627266947
buraydah,26.326,43.975,88.25,20,20,5.39,SA,1627267330
savignano sul rubicone,44.0953,12.4086,83.98,51,0,2.3,IT,1627267387
bud,39.447,-86.1758,78.91,89,65,4.38,US,1627267000
